date,ticker,value
1987-08-31,aapl,0.407166
1987-09-01,aapl,0.39567
1987-09-02,aapl,0.392017
1987-09-03,aapl,0.386258
1987-09-04,aapl,0.380637
1987-09-07,aapl,0.380637
1987-09-08,aapl,0.376124
1987-09-09,aapl,0.397814
1987-09-10,aapl,0.40532
1987-09-11,aapl,0.410733
1987-09-14,aapl,0.399622
1987-09-15,aapl,0.390297
1987-09-16,aapl,0.390297
1987-09-17,aapl,0.392017
1987-09-18,aapl,0.390297
1987-09-21,aapl,0.378752
1987-09-22,aapl,0.408116
1987-09-23,aapl,0.41646
1987-09-24,aapl,0.425934
1987-09-25,aapl,0.433705
1987-09-28,aapl,0.42049
1987-09-29,aapl,0.410733
1987-09-30,aapl,0.425934
1987-10-01,aapl,0.439158
1987-10-02,aapl,0.440917
1987-10-05,aapl,0.446654
1987-10-06,aapl,0.42049
1987-10-07,aapl,0.418603
1987-10-08,aapl,0.408996
1987-10-09,aapl,0.408116
1987-10-12,aapl,0.401378
1987-10-13,aapl,0.410733
1987-10-14,aapl,0.401378
1987-10-15,aapl,0.392017
1987-10-16,aapl,0.363719
1987-10-19,aapl,0.275056
1987-10-20,aapl,0.259944
1987-10-21,aapl,0.30512
1987-10-22,aapl,0.27715
1987-10-23,aapl,0.267787
1987-10-26,aapl,0.211173
1987-10-27,aapl,0.228042
1987-10-28,aapl,0.252706
1987-10-29,aapl,0.298019
1987-10-30,aapl,0.291156
1987-11-02,aapl,0.292192
1987-11-03,aapl,0.27322
1987-11-04,aapl,0.271471
1987-11-05,aapl,0.286542
1987-11-06,aapl,0.284705
1987-11-09,aapl,0.280756
1987-11-10,aapl,0.27322
1987-11-11,aapl,0.280756
1987-11-12,aapl,0.292192
1987-11-13,aapl,0.280756
1987-11-16,aapl,0.27715
1987-11-17,aapl,0.263906
1987-11-18,aapl,0.27322
1987-11-19,aapl,0.259944
1987-11-20,aapl,0.267787
1987-11-23,aapl,0.27322
1987-11-24,aapl,0.278937
1987-11-25,aapl,0.275056
1987-11-26,aapl,0.275056
1987-11-27,aapl,0.263906
1987-11-30,aapl,0.248853
1987-12-01,aapl,0.250631
1987-12-02,aapl,0.244933
1987-12-03,aapl,0.2298
1987-12-04,aapl,0.231954
1987-12-07,aapl,0.248853
1987-12-08,aapl,0.259944
1987-12-09,aapl,0.263906
1987-12-10,aapl,0.262078
1987-12-11,aapl,0.256389
1987-12-14,aapl,0.280756
1987-12-15,aapl,0.282909
1987-12-16,aapl,0.295847
1987-12-17,aapl,0.295847
1987-12-18,aapl,0.30512
1987-12-21,aapl,0.314822
1987-12-22,aapl,0.313062
1987-12-23,aapl,0.318515
1987-12-24,aapl,0.32121
1987-12-25,aapl,0.32121
1987-12-28,aapl,0.303433
1987-12-29,aapl,0.317615
1987-12-30,aapl,0.327273
1987-12-31,aapl,0.316676
1988-01-01,aapl,0.316676
1988-01-04,aapl,0.337437
1988-01-05,aapl,0.336332
1988-01-06,aapl,0.329971
1988-01-07,aapl,0.335413
1988-01-08,aapl,0.301704
1988-01-11,aapl,0.32027
1988-01-12,aapl,0.316676
1988-01-13,aapl,0.318515
1988-01-14,aapl,0.318515
1988-01-15,aapl,0.323294
1988-01-18,aapl,0.322365
1988-01-19,aapl,0.322365
1988-01-20,aapl,0.299788
1988-01-21,aapl,0.302484
1988-01-22,aapl,0.295847
1988-01-25,aapl,0.308302
1988-01-26,aapl,0.299788
1988-01-27,aapl,0.299788
1988-01-28,aapl,0.310888
1988-01-29,aapl,0.313062
1988-02-01,aapl,0.314822
1988-02-02,aapl,0.310888
1988-02-03,aapl,0.298019
1988-02-04,aapl,0.299788
1988-02-05,aapl,0.291156
1988-02-08,aapl,0.292192
1988-02-09,aapl,0.299788
1988-02-10,aapl,0.30916
1988-02-11,aapl,0.306059
1988-02-12,aapl,0.30916
1988-02-15,aapl,0.30916
1988-02-16,aapl,0.310888
1988-02-17,aapl,0.315785
1988-02-18,aapl,0.314822
1988-02-19,aapl,0.314822
1988-02-22,aapl,0.326
1988-02-23,aapl,0.322365
1988-02-24,aapl,0.318515
1988-02-25,aapl,0.314822
1988-02-26,aapl,0.314822
1988-02-29,aapl,0.324263
1988-03-01,aapl,0.326
1988-03-02,aapl,0.337437
1988-03-03,aapl,0.350494
1988-03-04,aapl,0.353488
1988-03-07,aapl,0.353488
1988-03-08,aapl,0.348608
1988-03-09,aapl,0.352568
1988-03-10,aapl,0.341152
1988-03-11,aapl,0.345053
1988-03-14,aapl,0.348608
